max,min,mean,median,standard deviation,variance,mode,skewness,range,interquartile range,kurtosis,kurtosis factor,peak to peak value,rms,clearance factor,shape factor,impulse factor,crest factor,sum ,percentile,level,breakdown voltage
1.201933493,-0.701183279,-0.062731902,-0.082132518,0.427871545,0.183074059,0.267971511,0.022773778,1.903116772,0.800629247,-1.544875799,-3.572415034,1.903116772,0.432445778,2.779385426,1.085057835,3.015793933,2.779385426,-125.4638044,-0.617985815,1,25
1.199390883,-0.701080585,-0.062686292,-0.079237736,0.427817445,0.183027766,0.257901009,0.022924913,1.900471468,0.800101922,-1.544913657,-3.572999498,1.900471468,0.432385635,2.773891605,1.085172086,3.010149739,2.773891605,-125.3725836,-0.616673167,1,25
1.195902149,-0.704821853,-0.062836882,-0.0805079,0.427956415,0.183146693,0.260638609,0.021952243,1.900724002,0.801041547,-1.544700892,-3.571191284,1.900724002,0.432544988,2.764804082,1.085285178,3.00060089,2.764804082,-125.6737646,-0.618949824,1,25
1.199738277,-0.704638836,-0.062774787,-0.079453313,0.427916461,0.183112498,0.26244084,0.022589498,1.904377113,0.800605217,-1.544999415,-3.572282378,1.904377113,0.432496441,2.773984161,1.085141749,3.010166024,2.773984161,-125.549575,-0.618824248,1,25
1.197454902,-0.702304585,-0.062710393,-0.081110917,0.427882593,0.183083514,0.257724399,0.02212523,1.899759487,0.80224989,-1.545873524,-3.574657631,1.899759487,0.43245359,2.768978986,1.085087073,3.004583303,2.768978986,-125.4207859,-0.618203514,1,25
1.196760072,-0.701696141,-0.062728316,-0.080012253,0.427895561,0.183094611,0.261553878,0.022335174,1.898456213,0.802698138,-1.545449831,-3.573550388,1.898456213,0.432469019,2.767273537,1.085152332,3.002913332,2.767273537,-125.4566328,-0.618958058,1,25
1.198617472,-0.701625978,-0.062670388,-0.081630974,0.427894733,0.183093903,0.260654577,0.022372146,1.90024345,0.801477773,-1.54544771,-3.573621647,1.90024345,0.432459802,2.771627483,1.085114422,3.007532953,2.771627483,-125.3407764,-0.618571187,1,25
1.198167461,-0.699257222,-0.062747073,-0.080389435,0.427933546,0.18312712,0.254380334,0.022354599,1.897424683,0.801053919,-1.545136859,-3.572493758,1.897424683,0.432509324,2.770269669,1.085223835,3.006362673,2.770269669,-125.4941463,-0.619384379,1,25
1.198930304,-0.70053038,-0.062787268,-0.080945628,0.428007965,0.183190818,0.259093101,0.022562523,1.899460684,0.801552579,-1.545271718,-3.572149262,1.899460684,0.432588788,2.771524224,1.085180781,3.007604822,2.771524224,-125.5745367,-0.619160187,1,25
1.196865704,-0.702193576,-0.062769865,-0.081721514,0.427938884,0.183131688,0.257579754,0.022363293,1.89905928,0.80050623,-1.545434147,-3.573110161,1.89905928,0.432517912,2.767204941,1.085144272,3.002816592,2.767204941,-125.5397299,-0.619011538,1,25
